scenario_id,bedrooms,anchor,max_commute,budget_pctl,budget_usd,priority,specificity,n_eligible,n_feasible_universe,frontier_universe,n_feasible_pool,frontier_pool,min_rent_feas,med_rent_feas,min_commute_feas
S119,2,downtown_manhattan,30,75,6950,commute_first,explicit,3885,351,20,40,20,2800,5250.0,2.6966650945796298
S120,0,downtown_manhattan,30,50,3600,commute_first,lifestyle,3885,247,20,40,20,1600,3295.0,2.6966650945796298
S121,2,midtown_manhattan,30,50,5000,location_first,explicit,3885,163,10,40,10,1625,4244.0,11.78118483445188
S122,1,downtown_brooklyn,30,25,3250,location_first,explicit,3885,117,11,40,11,1600,3000.0,9.98600939720012
S123,1,downtown_manhattan,60,75,5000,rent_first,explicit,3885,1875,32,40,32,1600,3750.0,2.556054836697468
S124,2,midtown_manhattan,45,75,6950,location_first,explicit,3885,765,16,40,16,1625,4650.0,10.546782184344496
S125,2,downtown_brooklyn,45,50,5000,commute_first,lifestyle,3885,511,23,40,23,1625,3795.0,3.767027013788408
S126,2,downtown_manhattan,30,25,3650,commute_first,explicit,3885,42,11,40,11,2800,3495.0,4.958923192190531
S127,2,downtown_brooklyn,60,25,3650,rent_first,lifestyle,3885,304,18,40,18,1625,3227.0,3.767027013788408
S128,0,midtown_manhattan,45,50,3600,location_first,explicit,3885,761,12,40,12,1600,3200.0,10.72967999757139
S129,1,downtown_brooklyn,60,50,4100,location_first,lifestyle,3885,1182,27,40,27,1600,3395.0,2.1761462516942705
S130,2,downtown_manhattan,60,50,5000,commute_first,lifestyle,3885,713,23,40,23,1625,3750.0,4.253753279519135
S131,0,downtown_brooklyn,45,50,3600,rent_first,lifestyle,3885,690,30,40,30,1600,3200.0,3.767027013788408
S132,1,downtown_manhattan,45,75,5000,location_first,lifestyle,3885,1527,32,40,32,1600,3900.0,2.556054836697468
S133,2,downtown_manhattan,45,75,6950,location_first,lifestyle,3885,884,28,40,28,1625,4500.0,2.6966650945796298
S134,1,midtown_manhattan,60,25,3250,location_first,explicit,3885,525,7,40,7,1600,2971.0,11.333242166933513
S135,2,midtown_manhattan,60,50,5000,rent_first,explicit,3885,710,11,40,11,1625,3753.0,11.78118483445188
S136,1,midtown_manhattan,30,25,3250,rent_first,explicit,3885,82,6,40,6,1625,2990.0,11.333242166933513
S137,2,downtown_brooklyn,60,75,6950,commute_first,lifestyle,3885,1028,27,40,27,1625,4300.0,3.767027013788408
S138,2,downtown_manhattan,30,50,5000,commute_first,explicit,3885,157,15,40,15,2800,4195.0,4.253753279519135
S139,1,downtown_manhattan,30,25,3250,rent_first,explicit,3885,62,13,40,13,1600,3000.0,2.6966650945796298
S140,0,midtown_manhattan,60,25,3100,commute_first,explicit,3885,521,8,40,8,1600,2762.0,11.333242166933513
S141,0,downtown_manhattan,45,50,3600,commute_first,lifestyle,3885,804,26,40,26,1600,3200.0,2.6966650945796298
S142,1,midtown_manhattan,45,75,5000,location_first,explicit,3885,1465,17,40,17,1600,3942.0,4.313284392402618
S143,0,downtown_brooklyn,45,75,4150,commute_first,lifestyle,3885,1167,34,40,34,1600,3500.0,2.1761462516942705
S144,2,downtown_brooklyn,60,50,5000,location_first,lifestyle,3885,682,23,40,23,1625,3750.0,3.767027013788408
S145,2,downtown_manhattan,60,75,6950,rent_first,lifestyle,3885,1063,28,40,28,1625,4250.0,2.6966650945796298
S146,2,downtown_manhattan,45,25,3650,location_first,explicit,3885,235,17,40,17,1625,3260.0,4.958923192190531
S147,0,downtown_manhattan,60,75,4150,rent_first,explicit,3885,1665,31,40,31,1600,3399.0,2.556054836697468
S148,2,downtown_brooklyn,30,50,5000,commute_first,lifestyle,3885,240,17,40,17,2700,3850.0,3.767027013788408
S149,1,midtown_manhattan,60,50,4100,commute_first,explicit,3885,1241,11,40,11,1600,3395.0,11.333242166933513
